date,reference_source,symbol,open,high,low,close,range_pips,close_change_pips,abs_close_change_pips,body_size_pips,body_pct_of_range,candle_direction,break_previous_high,break_previous_low,week_high_so_far,week_low_so_far,previous_week_high,previous_week_low,range_ytd_rank,abs_close_move_ytd_rank,ytd_observation_count,is_event_date,is_prior_20_window,prior_20_observation_count,prior_20_avg_range_pips,prior_20_median_range_pips,prior_20_max_range_pips,range_vs_prior_20_avg,range_vs_prior_20_median,range_vs_prior_20_max
2026-04-14,FXCM,USDJPY,159.422,159.441,158.602,158.76999999999998,83.89999999999986,-65.20000000000152,65.20000000000152,65.20000000000152,0.7771156138260027,DOWN,False,True,159.863,158.602,160.03,157.884,70,39,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-15,FXCM,USDJPY,158.76999999999998,159.153,158.64499999999998,158.938,50.80000000000098,16.800000000000637,16.800000000000637,16.800000000000637,0.330708661417329,UP,False,False,159.863,158.602,160.03,157.884,122,110,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-16,FXCM,USDJPY,158.938,159.309,158.262,159.118,104.6999999999997,18.000000000000682,18.000000000000682,18.000000000000682,0.17191977077364598,UP,True,True,159.863,158.262,160.03,157.884,49,105,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-17,FXCM,USDJPY,159.118,159.53099999999998,157.588,158.587,194.29999999999836,-53.10000000000059,53.10000000000059,53.10000000000059,0.27328872876994875,DOWN,True,True,159.863,157.588,160.03,157.884,12,47,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-20,FXCM,USDJPY,158.735,159.202,158.551,158.80599999999998,65.10000000000105,21.89999999999941,21.89999999999941,7.099999999996953,0.10906298003067341,UP,False,False,159.202,158.551,159.863,157.588,96,92,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-21,FXCM,USDJPY,158.80599999999998,159.63899999999998,158.708,159.32299999999998,93.09999999999832,51.69999999999959,51.69999999999959,51.69999999999959,0.555316863587546,UP,True,False,159.63899999999998,158.551,159.863,157.588,58,48,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-22,FXCM,USDJPY,159.32299999999998,159.57399999999998,159.101,159.438,47.29999999999848,11.50000000000091,11.50000000000091,11.50000000000091,0.24312896405922368,UP,False,False,159.63899999999998,158.551,159.863,157.588,127,119,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-23,FXCM,USDJPY,159.438,159.84699999999998,159.295,159.647,55.19999999999925,20.90000000000032,20.90000000000032,20.90000000000032,0.378623188405808,UP,True,False,159.84699999999998,158.551,159.863,157.588,111,95,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-24,FXCM,USDJPY,159.647,159.84099999999998,159.295,159.298,54.59999999999923,-34.899999999998954,34.899999999998954,34.899999999998954,0.639194139194129,DOWN,False,False,159.84699999999998,158.551,159.863,157.588,112,68,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
2026-04-27,FXCM,USDJPY,159.55499999999998,159.59699999999998,159.093,159.41,50.39999999999907,11.199999999999477,11.199999999999477,14.499999999998181,0.2876984126983819,DOWN,False,True,159.59699999999998,159.093,159.84699999999998,158.551,123,121,150,False,False,20,73.36499999999987,62.10000000000093,197.79999999999802,,,
